hodnota,vek_kod,vuzemi_kod,casref_do,vek_txt,vuzemi_txt
1815,95+,3018,2019-12-31,Od 95 (více nebo rovno 95),Hlavní město Praha
1218,95+,3026,2019-12-31,Od 95 (více nebo rovno 95),Středočeský kraj
658,95+,3034,2019-12-31,Od 95 (více nebo rovno 95),Jihočeský kraj
510,95+,3042,2019-12-31,Od 95 (více nebo rovno 95),Plzeňský kraj
253,95+,3051,2019-12-31,Od 95 (více nebo rovno 95),Karlovarský kraj
682,95+,3069,2019-12-31,Od 95 (více nebo rovno 95),Ústecký kraj
418,95+,3077,2019-12-31,Od 95 (více nebo rovno 95),Liberecký kraj
611,95+,3085,2019-12-31,Od 95 (více nebo rovno 95),Královéhradecký kraj
515,95+,3093,2019-12-31,Od 95 (více nebo rovno 95),Pardubický kraj
469,95+,3107,2019-12-31,Od 95 (více nebo rovno 95),Kraj Vysočina
1474,95+,3115,2019-12-31,Od 95 (více nebo rovno 95),Jihomoravský kraj
665,95+,3123,2019-12-31,Od 95 (více nebo rovno 95),Olomoucký kraj
602,95+,3131,2019-12-31,Od 95 (více nebo rovno 95),Zlínský kraj
1145,95+,3140,2019-12-31,Od 95 (více nebo rovno 95),Moravskoslezský kraj
7747,90-94,3018,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Hlavní město Praha
5934,90-94,3026,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Středočeský kraj
3161,90-94,3034,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Jihočeský kraj
2691,90-94,3042,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Plzeňský kraj
1224,90-94,3051,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Karlovarský kraj
3069,90-94,3069,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Ústecký kraj
2071,90-94,3077,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Liberecký kraj
3129,90-94,3085,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Královéhradecký kraj
2647,90-94,3093,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Pardubický kraj
2669,90-94,3107,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Kraj Vysočina
6704,90-94,3115,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Jihomoravský kraj
3280,90-94,3123,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Olomoucký kraj
3171,90-94,3131,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Zlínský kraj
5484,90-94,3140,2019-12-31,90 až 95 (více nebo rovno 90 a méně než 95),Moravskoslezský kraj
18474,85-89,3018,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Hlavní město Praha
16418,85-89,3026,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Středočeský kraj
8990,85-89,3034,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Jihočeský kraj
7873,85-89,3042,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Plzeňský kraj
3493,85-89,3051,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Karlovarský kraj
8716,85-89,3069,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Ústecký kraj
5477,85-89,3077,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Liberecký kraj
8414,85-89,3085,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Královéhradecký kraj
7630,85-89,3093,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Pardubický kraj
7453,85-89,3107,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Kraj Vysočina
16948,85-89,3115,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Jihomoravský kraj
8975,85-89,3123,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Olomoucký kraj
8934,85-89,3131,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Zlínský kraj
14794,85-89,3140,2019-12-31,85 až 90 (více nebo rovno 85 a méně než 90),Moravskoslezský kraj
26905,80-84,3018,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Hlavní město Praha
26631,80-84,3026,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Středočeský kraj
14516,80-84,3034,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Jihočeský kraj
13278,80-84,3042,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Plzeňský kraj
6641,80-84,3051,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Karlovarský kraj
16083,80-84,3069,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Ústecký kraj
8987,80-84,3077,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Liberecký kraj
13044,80-84,3085,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Královéhradecký kraj
12055,80-84,3093,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Pardubický kraj
12708,80-84,3107,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Kraj Vysočina
27306,80-84,3115,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Jihomoravský kraj
14947,80-84,3123,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Olomoucký kraj
14709,80-84,3131,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Zlínský kraj
26685,80-84,3140,2019-12-31,80 až 85 (více nebo rovno 80 a méně než 85),Moravskoslezský kraj
50219,75-79,3018,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Hlavní město Praha
47394,75-79,3026,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Středočeský kraj
24453,75-79,3034,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Jihočeský kraj
22993,75-79,3042,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Plzeňský kraj
11143,75-79,3051,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Karlovarský kraj
29644,75-79,3069,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Ústecký kraj
16373,75-79,3077,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Liberecký kraj
